text,label
i want to say how i want to feel just come out so bitter and angry,3
i am feeling very apprehensive about the future at the moment,4
i feel so terribly that i have ignored her sweet email up until now,0
i was feeling grouchy and all,3
i actually feel like everything is going to be ok,1
i forgive myself that i have accepted and allowed myself to forget that i decide and thus i was decided to feel groggy this morning,0
i feel so much more myself and i missed me,0
i feel like all the unsuccessful endeavors in my friends lives are my fault,0
i was left feeling foolish all alone in the rain,0
i feel groggy and want to crawl back into be with my cat and my book,0
i like doing leaving me feel inadaquate under valued and under appreciated,1
i guess his widow was feeling generous when she packed it up,2
i feel like weve been doomed from the start and yet were still together two years later,0
i feel more stressed than ever,0
im feeling emotionally vulnerable right now and just want to throw up in peace so i can go back up and party hard,4
i was feeling generous that saturday morning and told them to go ahead with their plan to have the stand and if they made enough money id take them to the theater to see a movie,2
i feel it must have been the violent dream i had to snap myself awake from a difficult dream of my mother representing anyone and everyone and self violence universal but beautiful in its metaphor,3
i only have a couple of things left to make and at the start of december i am done and feeling smug,1
i am feeling a little dull this morning because we had a winetasting at our apartment yesterday to choose the wines for our wedding,0
i was sick of feeling so lethargic all the time,0
i feel like my day starts around lunchtime which kind of feels awful,0
i still feel the pressure to make sure they are excited by what santa brings,1
i feel more in control and less frightened about my headaches and migraine attacks excellent service,4
i feel wholly and completely loved well most days,2
i got the feeling watching it that only from starting out by making hats for his school friends could one develop such a clever use of resources train tickets doc marten soles barbies and shattered mirrors to name a few,1
i threw myself at him after all feeling genuinely pleased for him,1
i feel very irritated and annoyed today,3
i feel that even though some bloggers are popular within one clique there are twice the amount of people who are jealous of their success but chooses to kiss their butt to fit in and triple who disrespect them for their pompous notoriety,1
i still feel a bit stunned and i suppose i should be racked with regret and shame,5
i hate to feel threatened totally,4
i am sure that fans of every other team feel one of their guys got slighted and in the long run it really doesnt make much of a difference its just a shame that someone as talented as evgeni malkin was left off,1
i feel like life is too good to be true,1
i feel honored to wear usa on my back,1
i struggling to find a common ground with not feeling deprived managing my stress and activity and living a healthy lifestyle,0
i feel the cold more than him,3
i think this will help somebody out there that feels hopeless and alone,0
i feel so helpless but so well protected,4
i took to be his son joined elihu and me at christmastime inside a fine home with lovely mill work darkly lit and with a large stately christmas tree in the living room the feeling was gentle it was one of long lost friends meeting for the first time as adults as people,2
i am a good person or that how i feel is acceptable or somehow normal,1
i feel like i got in at that sweet spot before everyone realizes how messed up everything really is,2
i feel like mike is loyal and will always be loyal,2
i feel that he wasn t making the effort to see me i blamed it on an over active imagination,0
i wish i have the feeling back soon cause now i realise how lonely when i dont have the feeling its like soo unwanted even when i am not,0
i can feel the frantic beat of his heart but cookie s voice is surprisingly clear,4
